City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
341,beledweyne,4.7358,45.2036,297.2,68,86,7.63,SO,1689383040
342,petrolina,-9.3986,-40.5008,298.18,44,0,1.03,BR,1689382792
343,cole harbour,44.6724,-63.4751,293.81,93,22,2.57,CA,1689383041
344,tromso,69.6496,18.957,288.16,77,100,1.79,NO,1689382789
345,illizi,26.4833,8.4667,303.04,12,0,4.48,DZ,1689383041
346,el calafate,-50.3408,-72.2768,269.18,80,79,1.63,AR,1689383041
347,birchington-on-sea,51.3758,1.3048,289.78,92,100,3.58,GB,1689383041
348,saint-pierre,-21.3393,55.4781,294.58,94,75,5.66,RE,1689383041
349,trairi,-3.2778,-39.2689,298.65,79,0,4.43,BR,1689383042
350,amet,25.3,73.9333,298.44,83,81,4.88,IN,1689383042
351,maqat,47.65,53.3167,296.36,63,37,6.88,KZ,1689383042
352,narvik,68.4384,17.4272,286.69,85,100,2.1,NO,1689382911
353,nova olinda do norte,-3.8881,-59.0942,298.68,77,23,0.89,BR,1689383042
354,mossel bay,-34.1831,22.146,294.11,50,66,6.28,ZA,1689383043
355,mumbwa,-14.9783,27.0619,285.25,64,0,3.43,ZM,1689383043
356,al fulah,11.7329,28.3579,301.76,54,100,7.12,SD,1689383043
357,lundazi,-12.2929,33.1782,285.18,81,21,3.76,ZM,1689383044
358,kaa-khem,51.6833,94.7333,295.58,53,8,0.75,RU,1689383044
359,ghadamis,30.1337,9.5007,303.11,15,0,4.15,LY,1689383044
360,salalah,17.0151,54.0924,298.65,91,100,4.99,OM,1689382899
361,malaya purga,56.5567,53.0043,287.87,91,100,2.39,RU,1689383044
362,oberviechtach,49.4667,12.4167,289.88,67,4,1.4,DE,1689383045
363,melekeok village,7.4957,134.6367,302.43,76,95,5.92,PW,1689383045
